,title,url,pageRank,word,pos,start_time,end_time
114,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,resume,noun,60,120
115,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,project,noun,60,120
116,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,resume,noun,60,120
117,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,games,noun,60,120
118,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,kind,noun,60,120
119,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,things,noun,60,120
120,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,analysis,noun,60,120
121,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,data,noun,60,120
122,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,patterns,noun,60,120
123,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,kind,noun,60,120
124,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,projects,noun,60,120
125,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,course,noun,60,120
126,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,thing,noun,60,120
127,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,guys,noun,60,120
128,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,tips,noun,60,120
129,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,guys,noun,60,120
130,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,notes,noun,60,120
131,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,notes,noun,60,120
132,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,notes,noun,60,120
133,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,thing,noun,60,120
134,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,go,verb,60,120
135,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,call,verb,60,120
136,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,complete,verb,60,120
137,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,complete,verb,60,120
138,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,boost,verb,60,120
139,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,complete,verb,60,120
140,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,mention,verb,60,120
141,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,cover,verb,60,120
142,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,mention,verb,60,120
143,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,depend,verb,60,120
144,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,know,verb,60,120
145,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,create,verb,60,120
146,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,know,verb,60,120
147,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,make,verb,60,120
148,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,want,verb,60,120
149,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,say,verb,60,120
150,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,have,verb,60,120
151,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,make,verb,60,120
152,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,provide,verb,60,120
153,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,think,verb,60,120
154,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,provide,verb,60,120
155,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,know,verb,60,120
156,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,beginner,noun,60,120
157,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,things,noun,60,120
158,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,project,noun,60,120
159,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,thing,noun,60,120
160,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,thing,noun,60,120
161,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,confidence,noun,60,120
162,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,project,noun,60,120
163,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,level,noun,60,120
164,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,starting,noun,60,120
165,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,projects,noun,60,120
166,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,resume,noun,60,120
167,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,project,noun,60,120
168,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,resume,noun,60,120
169,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,games,noun,60,120
170,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,kind,noun,60,120
171,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,things,noun,60,120
172,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,analysis,noun,60,120
173,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,data,noun,60,120
174,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,patterns,noun,60,120
175,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,kind,noun,60,120
176,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,projects,noun,60,120
177,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,course,noun,60,120
178,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,thing,noun,60,120
179,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,guys,noun,60,120
180,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,tips,noun,60,120
181,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,guys,noun,60,120
182,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,notes,noun,60,120
183,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,notes,noun,60,120
184,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,notes,noun,60,120
185,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,thing,noun,60,120
186,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,go,verb,60,120
187,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,call,verb,60,120
188,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,complete,verb,60,120
189,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,complete,verb,60,120
190,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,boost,verb,60,120
191,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,complete,verb,60,120
192,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,mention,verb,60,120
193,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,cover,verb,60,120
194,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,mention,verb,60,120
195,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,depend,verb,60,120
196,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,know,verb,60,120
197,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,create,verb,60,120
198,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,know,verb,60,120
199,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,make,verb,60,120
200,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,want,verb,60,120
201,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,say,verb,60,120
202,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Banknote,0.02229080102124043,have,verb,60,120
