title,word,start_time,end_time
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","제곱, 3의 4승 81이 나왔고, 퍼센트 연산자 아까 그렸던 것 중에 나머지 있죠.",360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",그 나머지를 표현하는게 퍼센트 연산자입니다.,360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","몫을 나타내려면 두개 그으면 몫이 나오고, 이렇게 하면 나누기다.",360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이제 숫자는 여기까지 마치고 문자열 자료형을 보겠습니다.,360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",문자열 자료형을 만드는게 방법이 상당히 많습니다.,360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","큰 따옴표 쓸 수도 있고, 작은 따옴표",360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","큰 따옴표 세개, 작은 따옴표 세개 이렇게 쓸 수 있는데",360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",하나씩 한 번 실습해 보겠습니다. Hello world 요렇게 하고,360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","print(a)를 하면 이렇게 Hello world가 나오는거, 이건 많이 했었죠?",360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",그리고 type을 찍어보면 이게 타입이 문자형이라서,360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",str이라고 나왔습니다.,360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",str이 문자열 자료형이라는 뜻인 string의 약자로 str를 씁니다.,360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",근데 이걸 쓰는 방법이 여러가지가 있습니다.,360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",큰 따옴표로 쓰셔도 되고 작은 따옴표로 쓰셔도 똑같습니다.,360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이걸 세개 써도 되고 큰 따옴표 세개로 감싸도 똑같습니다.,360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이걸 그냥 하나만 만드면 되지 왜 이렇게 많이 쓰냐라고 생각하실 수 있는데,360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이게 다 이유가 있습니다. 책에 예시에도 나오는데,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","요런 문장이 있다라고 하면은, 이게 만약에 작은 따옴표 밖에 못썼다면",420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",어 좀 일단 색깔부터 이상하죠? 그래서 실제로 재생을 눌러보면,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",invalid syntax 해가지고 오류가 났습니다.,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이게 왜 오류가 났을까? 작은 따옴표가 있죠?,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",작은 따옴표하고 요기에 Python's하면서 이 작은 따옴표를 한번 더 썼어요.,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","그랬더니 여기 파이썬이 인식하기에는, 어 이거는?",420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",그럼 작은 따옴표로 감쌌으니까 이게 문자열 자료형이겠네?,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",뒤에거는 그냥 변수인가 하고 파이썬이 알아듣지 못합니다.,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","요 가운데 있는 값은 이게 Syntax error, 이런 문법은 파이썬에 없어 하고",420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",에러를 때리게 됩니다. 요런 문자를 쓰기 위해서 큰 따옴표로 감싸게 되면,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이제는 큰 따옴표 사이에 작은 따옴표가 있는거니까,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",요런 Python's할때 요런 작은 따옴표를 쓸 수 가 있겠죠.,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",그러면 이제 Python's 이게 제대로 나오죠.,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",요게 제대로 나온 걸 볼 수 있습니다. 당연히 이 작은 따옴표를 쓰고,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이 안에 큰 따옴표를 써도 문장을 만들 수 있습니다.,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",그래서 이런식으로 쓸 수 있다. 그리고 추가적으로,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",안에 따옴표나 작은 따음표를 넣을 수 있는 새로운 방법이 있는데,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",키보드에 요 표시 있으신가요? 요렇게 되어 있는 경우도 있고,420,480
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",아니면 한글 키보드면 이렇게 원 표시로 들어가있는게 있어요.,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이게 백슬래시라는 키보드 버튼이에요.,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",백슬래시를 쓰고 따옴표를 쓰면 이거는 문자 따옴표를 쓸거니까,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",스트링에 시작과 끝이 아닌 문자열 따옴표다라고 알려 줄 수가 있습니다.,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","요런 거를 이용하면은, 작은 따옴표 있으면 아까 오류났었죠? 이렇게 되면",480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",여기 자리에 백슬래시 키 있죠?,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",요거를 쓰면은 정상적으로 오류가 안나고 따옴표가 잘 출력이 됩니다.,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",여러 줄로 이루어진 문자열 어떤 건지 감은 아시겠죠?,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","이렇게 되어 있는게 문자열 자료형이고, 이게 우리가 아는 string",480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",문자열을 쓴 거다 이렇게 되있는데 이렇게 하고 싶을 수도 있죠.,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",Life is too short You need python.,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이런 문장이 있는데 여기를 뛰우고 싶어요.,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이걸 엔터를 치고 이 값을 넣고 싶어요.,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",근데 그냥 이렇게 하면 오류가 떴죠? 뛰어쓰기를 인식을 못해요.,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",파이썬은 한 줄씩 이렇게 처리하기 때문에,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이렇게 읽다가 여기 따옴표가 없잖아요.,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",어 왜 없지?하고 오류를 냅니다.,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",그래서 나온게 escape문자라는게 있는데요.,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",escape code라고 해서 이런 띄어쓰기를 컴퓨터한테 알려주려면,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",백슬래시 하고 n을 넣게 되면 이제는 아까와 다르게 결과가 잘 나왔죠?,480,540
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",한줄씩 띄어서 나온걸 볼 수 있습니다.,540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",48페이지에 요런 설명이 나오죠?,540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",아까 우리는 백슬래시 n을 썼는데 줄을 바꿀 때 이걸 사용하고요,540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이 백슬래시 t를 넣으면 출력할 때 한 탭이 들어갑니다.,540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","이 슬래시라는 걸 넣고 싶을 때는, 두개를 쓰면은 넣을 수 있습니다.",540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",작은 따옴표 이거 해봤었죠? 큰 따옴표도 이렇게 넣을 수 있습니다.,540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",나머지 얘네는 쓸 일이 없습니다. 얘네는 보지 마세요.,540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이거는 뭐 쓸 일이 없어요. 요정도 기억하시면 좋을 것 같습니다.,540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",아까 string에서 요렇게 3개 있는것도 있었죠.,540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이렇게 쓰게 되면 이스케이프 문자 이걸 안 쓰고도 그냥 이렇게 엔터를 누르면,540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",얘는 이걸 인식해요. 그래서 막 좀 이상한 구조로 막 적어도,540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",탭이랑 간격을 다 인식해서 출력할 때 이거 그대로 나오죠.,540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",요렇게 세 개 쓰는 거의 장점은 이런 이스케이프 문자 이런걸 안써도,540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",여기 문장에 맞게 잘 나올 수 있다. 여러 줄로 이루어져 있을 때,540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",작은 따옴표 3개 혹은 큰 따옴표 3개를 이용하면 좋다.,540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","문자열 더하기, 문자열을 더해서 연결할 수가 있습니다.",540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","Python이었고, b의 is fun 이런 문장이",540,600
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",있다고 하면 이때 a 더하기 b를 해 보면 이렇게 문자열이 더해집니다.,600,660
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이즈 펀 있으면 이 두 개를 더할 수가 있습니다. 그 다음에 나온 게 곱하기도 됐었죠.,600,660
